Sismos reportados en el 2024    / Total de sismos = 158
Fecha;Hora Local;Magnitud;Profundidad en km;Localizacion;Origen;Reportado;Latitud;Longitud;
2024-07-22;13:19:00;6;20;33 km Sur Sureste de Puerto Armuelles;Zona de Fractura de Panamá;Fuerte en Zona Sur de Costa Rica, leve en Valle Central.;8.0046;-82.714
2024-07-19;22:02:00;3.6;28.5;21.5 km hacia el Noroeste de Playa Flamingo, Guanacaste.;Subducción de la placa del Coco por debajo de la Placa del Caribe;Playa Grande, Flamingo, Playas del Coco, Tamarindo, Junquillal;10.4528;-85.9891
2024-07-19;22:02:00;3.6;29;24 km al oeste de Playa Potrero;Tectónico por subducción;Tamarindo, Playa Grande, Sardinal, Playas del Coco, Junquillal, Santa Cruz, Huacas, Potrero;10.4528;-85.9891
2024-07-14;01:54:00;3.1;14;16 km al oeste de Siquirres;Tectónico en falla local;Siquirres y Turrialba;10.0787;-83.6603
2024-07-13;15:33:00;5.7;15;14 km al sureste de punta burica;subduccion;Zona sur, Valle Central;8.03;-82.7376
2024-07-13;03:53:00;2;3;4 km al suroeste de Orosi;Tectónico en falla local;Rio Macho, Orosi, Paraiso;9.7683;-83.8733
2024-07-12;03:36:00;4.2;32;33 km al noreste de Parismina;Tectónico;Limón;10.5193;-83.1484
2024-07-08;03:54:00;5.8;30;21 km al sureste de Paso Canoas, en Panamá;Tectónico por subducción.;Zona Sur, Limón, Turrialba, Quepos y Valle Central;8.4158;-82.6852
2024-07-08;06:31:00;4.8;28;12 km hacia el Este de Laurel de Corredores de Puntarenas.;Subducción de la placa de Nazca bajo la placa de Panamá;Zona Sur, Peninsula de Burica, Golfito;8.4299;-82.7218
2024-07-08;10:49:00;2.3;4;3 km al sureste de San Isidro de Heredia;Tectónico en falla local.;San Isidro y San Pablo de Heredia;9.9943;-84.0437
2024-07-03;18:52:00;3.5;35;6 km al sur de Santa Cruz;Tectónico por subducción.;Santa Cruz, Marbella, Matambú, Mansión, Sabana Grande.;10.2013;-85.5856
2024-06-28;10:10:00;2.6;3;4 km oeste de Salitrillos de Aserrí;Fallamiento Local;Desamparados, Aserrí, San Fco. de Dos Ríos;9.8526;-84.1271
